"date","state","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-03-08,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-08,"New South Wales",40,1,8008,40,0,0,0,0
2020-03-08,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-08,"Queensland",15,0,0,15,0,0,0,0
2020-03-08,"South Australia",7,0,0,7,0,0,0,0
2020-03-08,"Tasmania",2,0,0,2,0,0,0,0
2020-03-08,"Victoria",12,0,0,12,0,0,0,0
2020-03-08,"Western Australia",4,1,0,0,0,0,0,0
2020-03-09,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-09,"New South Wales",47,2,8371,47,0,0,0,0
2020-03-09,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-09,"Queensland",15,0,0,15,0,0,0,0
2020-03-09,"South Australia",7,0,0,7,0,0,0,0
2020-03-09,"Tasmania",2,0,0,2,0,0,0,0
2020-03-09,"Victoria",15,0,0,15,0,0,0,0
2020-03-09,"Western Australia",6,1,0,0,0,0,0,0
2020-03-10,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-10,"New South Wales",61,2,10165,61,0,0,0,0
2020-03-10,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-10,"Queensland",18,0,0,18,0,0,0,0
2020-03-10,"South Australia",7,0,0,7,0,0,0,0
2020-03-10,"Tasmania",2,0,0,2,0,0,0,0
2020-03-10,"Victoria",18,0,0,18,0,0,0,0
2020-03-10,"Western Australia",6,1,0,0,0,0,0,0
2020-03-11,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-11,"New South Wales",65,2,10221,65,0,0,0,0
2020-03-11,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-11,"Queensland",20,0,0,20,0,0,0,0
2020-03-11,"South Australia",9,0,0,7,0,0,0,0
2020-03-11,"Tasmania",3,0,0,3,0,0,0,0
2020-03-11,"Victoria",21,0,0,21,0,0,0,0
2020-03-11,"Western Australia",9,1,0,0,0,0,0,0
2020-03-12,"Australian Capital Territory",1,0,0,1,0,0,0,0
2020-03-12,"New South Wales",78,2,14856,78,0,0,0,0
2020-03-12,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-12,"Queensland",27,0,0,27,0,0,0,0
2020-03-12,"South Australia",12,0,0,9,0,0,0,0
2020-03-12,"Tasmania",3,0,0,3,0,0,0,0
2020-03-12,"Victoria",27,0,0,27,0,0,0,0
2020-03-12,"Western Australia",9,1,0,0,0,0,0,0
2020-03-13,"Australian Capital Territory",1,0,0,1,0,0,0,0
2020-03-13,"New South Wales",92,2,16685,92,0,0,0,0
2020-03-13,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-13,"Queensland",35,1,0,35,0,0,0,0
2020-03-13,"South Australia",16,0,0,12,0,0,0,0
2020-03-13,"Tasmania",4,0,0,4,0,0,0,0
2020-03-13,"Victoria",36,0,0,36,0,0,0,0
2020-03-13,"Western Australia",14,1,0,0,0,0,0,0
2020-03-14,"Australian Capital Territory",1,0,0,1,0,0,0,0
2020-03-14,"New South Wales",112,3,20496,112,0,0,0,0
2020-03-14,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-14,"Queensland",46,1,0,46,0,0,0,0
2020-03-14,"South Australia",19,0,0,16,0,0,0,0
