Date,State,confirmed_cum,deaths_cum,tests_cum,positives_cum,recovered_cum,hosp_cum,ICU_cum,vent_cum
18-02-20,ACT,0,0,0,0,0,0,0,0
18-02-20,NSW,4,0,0,0,0,0,0,0
18-02-20,NT,0,0,0,0,0,0,0,0
18-02-20,QLD,5,0,0,0,0,0,0,0
18-02-20,SA,2,0,0,0,0,0,0,0
18-02-20,TAS,0,0,0,0,0,0,0,0
18-02-20,VIC,4,0,0,0,0,0,0,0
18-02-20,WA,0,0,0,0,0,0,0,0
19-02-20,ACT,0,0,0,0,0,0,0,0
19-02-20,NSW,4,0,0,0,0,0,0,0
19-02-20,NT,0,0,0,0,0,0,0,0
19-02-20,QLD,5,0,0,0,0,0,0,0
19-02-20,SA,2,0,0,0,0,0,0,0
19-02-20,TAS,0,0,0,0,0,0,0,0
19-02-20,VIC,4,0,0,0,0,0,0,0
19-02-20,WA,0,0,0,0,0,0,0,0
20-02-20,ACT,0,0,0,0,0,0,0,0
20-02-20,NSW,4,0,0,0,0,0,0,0
20-02-20,NT,0,0,0,0,0,0,0,0
20-02-20,QLD,5,0,0,0,0,0,0,0
20-02-20,SA,2,0,0,0,0,0,0,0
20-02-20,TAS,0,0,0,0,0,0,0,0
20-02-20,VIC,4,0,0,0,0,0,0,0
20-02-20,WA,0,0,0,0,0,0,0,0
21-02-20,ACT,0,0,0,0,0,0,0,0
21-02-20,NSW,4,0,0,0,0,0,0,0
21-02-20,NT,0,0,0,0,0,0,0,0
21-02-20,QLD,7,0,0,0,0,0,0,0
21-02-20,SA,3,0,0,0,0,0,0,0
21-02-20,TAS,0,0,0,0,0,0,0,0
21-02-20,VIC,4,0,0,0,0,0,0,0
21-02-20,WA,1,0,0,0,0,0,0,0
22-02-20,ACT,0,0,0,0,0,0,0,0
22-02-20,NSW,4,0,0,0,0,0,0,0
22-02-20,NT,0,0,0,0,0,0,0,0
22-02-20,QLD,8,0,0,0,0,0,0,0
22-02-20,SA,3,0,0,0,0,0,0,0
22-02-20,TAS,0,0,0,0,0,0,0,0
22-02-20,VIC,4,0,0,0,0,0,0,0
22-02-20,WA,1,0,0,0,0,0,0,0
23-02-20,ACT,0,0,0,0,0,0,0,0
23-02-20,NSW,4,0,0,0,0,0,0,0
23-02-20,NT,0,0,0,0,0,0,0,0
23-02-20,QLD,8,0,0,0,0,0,0,0
23-02-20,SA,3,0,0,0,0,0,0,0
23-02-20,TAS,0,0,0,0,0,0,0,0
23-02-20,VIC,4,0,0,0,0,0,0,0
23-02-20,WA,1,0,0,0,0,0,0,0
24-02-20,ACT,0,0,0,0,0,0,0,0
24-02-20,NSW,4,0,0,0,0,0,0,0
24-02-20,NT,0,0,0,0,0,0,0,0
24-02-20,QLD,8,0,0,0,0,0,0,0
24-02-20,SA,3,0,0,0,0,0,0,0
24-02-20,TAS,0,0,0,0,0,0,0,0
24-02-20,VIC,4,0,0,0,0,0,0,0
24-02-20,WA,1,0,0,0,0,0,0,0
25-02-20,ACT,0,0,0,0,0,0,0,0
25-02-20,NSW,4,0,0,0,0,0,0,0
25-02-20,NT,0,0,0,0,0,0,0,0
25-02-20,QLD,8,0,0,0,0,0,0,0
25-02-20,SA,3,0,0,0,0,0,0,0
25-02-20,TAS,0,0,0,0,0,0,0,0
25-02-20,VIC,4,0,0,0,0,0,0,0
25-02-20,WA,1,0,0,0,0,0,0,0
26-02-20,ACT,0,0,0,0,0,0,0,0
26-02-20,NSW,4,0,0,0,0,0,0,0
26-02-20,NT,0,0,0,0,0,0,0,0
26-02-20,QLD,8,0,0,0,0,0,0,0
26-02-20,SA,3,0,0,0,0,0,0,0
26-02-20,TAS,0,0,0,0,0,0,0,0
26-02-20,VIC,4,0,0,0,0,0,0,0
26-02-20,WA,1,0,0,0,0,0,0,0
27-02-20,ACT,0,0,0,0,0,0,0,0
27-02-20,NSW,4,0,0,0,0,0,0,0
27-02-20,NT,0,0,0,0,0,0,0,0
27-02-20,QLD,8,0,0,0,0,0,0,0
