"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id","state_abbrev"
2020-05-22,7283,102,1170682,6363,6480,40,7,6,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-23,7296,103,1192262,6376,6492,36,5,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-24,7299,103,1224795,6379,6507,33,5,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-25,7303,103,1244203,6379,6530,31,5,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-26,7318,103,1288223,6388,6551,30,5,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-27,7324,103,1338321,6394,6558,30,6,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-28,7342,103,1367444,6405,6580,29,5,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-29,7358,103,1397622,6413,6580,23,4,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-30,7369,103,1428538,6424,6613,22,4,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-31,7379,103,1454568,6431,6611,20,4,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-01,7387,103,1472220,6438,6615,20,3,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-02,7404,103,1490387,6455,6620,26,4,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-03,7412,103,1512700,6462,6635,25,5,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-04,7423,103,1546329,6473,6660,23,4,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-05,7434,103,1579192,6480,6676,21,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-06,7436,103,1590588,6481,6684,21,4,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-07,7440,103,1617462,6484,6693,18,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-08,7446,103,1633515,6490,6700,19,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-09,7448,103,1650684,6492,6714,19,2,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-10,7455,103,1679954,6499,6736,20,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-11,7464,103,1711223,6508,6751,18,2,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-12,7468,103,1745550,6511,6773,18,2,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-13,7481,103,1782651,6524,6802,16,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-14,7499,103,1812353,6542,6828,16,3,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-15,7514,103,1828149,6557,6841,17,4,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-16,7526,103,1848347,6569,6846,17,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-17,7549,103,1881519,6592,6860,16,3,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-18,7570,103,1927497,6612,6860,14,3,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-19,7588,103,1970205,6630,6870,15,2,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-20,7614,103,2005378,6656,6877,17,3,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-21,7639,103,2041324,6680,6885,14,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-22,7652,103,2107849,6693,6892,16,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-23,7670,103,2132821,6709,6904,19,3,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-24,7699,104,2180424,6738,6913,16,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-25,7735,104,2232341,6774,6930,16,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-26,7772,104,2281839,6811,6946,12,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
