"COVID_Data_Hub.date","COVID_Data_Hub.confirmed","COVID_Data_Hub.deaths","COVID_Data_Hub.tests","COVID_Data_Hub.positives","COVID_Data_Hub.recovered","COVID_Data_Hub.hosp","COVID_Data_Hub.icu","COVID_Data_Hub.vent","COVID_Data_Hub.population","COVID_Data_Hub.administrative_area_level","COVID_Data_Hub.administrative_area_level_1","COVID_Data_Hub.administrative_area_level_2","COVID_Data_Hub.administrative_area_level_3","COVID_Data_Hub.id"
2020-05-05,7040,97,664756,7040,5890,66,27,20,25459470,1,"Australia",NA,NA,"99999999"
2020-05-06,7064,97,688656,7064,5979,62,27,18,25459470,1,"Australia",NA,NA,"99999999"
2020-05-07,7086,97,722549,7086,6038,58,23,17,25459470,1,"Australia",NA,NA,"99999999"
2020-05-08,7104,97,757250,7104,6084,56,21,16,25459470,1,"Australia",NA,NA,"99999999"
2020-05-09,7118,97,795456,7118,6137,51,19,15,25459470,1,"Australia",NA,NA,"99999999"
2020-05-10,7130,97,827872,7130,6166,43,18,15,25459470,1,"Australia",NA,NA,"99999999"
2020-05-11,7137,97,855119,7137,6182,49,16,14,25459470,1,"Australia",NA,NA,"99999999"
2020-05-12,7157,97,877927,7157,6233,47,16,15,25459470,1,"Australia",NA,NA,"99999999"
2020-05-13,7168,98,909025,7168,6274,50,17,14,25459470,1,"Australia",NA,NA,"99999999"
2020-05-14,7183,98,943299,7183,6299,51,18,13,25459470,1,"Australia",NA,NA,"99999999"
2020-05-15,7214,98,983816,7214,6336,47,18,13,25459470,1,"Australia",NA,NA,"99999999"
2020-05-16,7231,98,1015652,7231,6366,49,16,12,25459470,1,"Australia",NA,NA,"99999999"
2020-05-17,7240,98,1042126,7240,6370,50,16,12,25459470,1,"Australia",NA,NA,"99999999"
2020-05-18,7249,99,1062034,7249,6397,45,12,7,25459470,1,"Australia",NA,NA,"99999999"
2020-05-19,7257,100,1085870,7257,6416,47,11,7,25459470,1,"Australia",NA,NA,"99999999"
2020-05-20,7268,100,1111567,7268,6446,44,9,7,25459470,1,"Australia",NA,NA,"99999999"
2020-05-21,7270,100,1137684,7270,6473,41,9,7,25459470,1,"Australia",NA,NA,"99999999"
2020-05-22,7284,101,1170682,7284,6481,40,7,6,25459470,1,"Australia",NA,NA,"99999999"
2020-05-23,7300,102,1192262,7300,6496,36,5,5,25459470,1,"Australia",NA,NA,"99999999"
2020-05-24,7303,102,1224795,7303,6511,33,5,5,25459470,1,"Australia",NA,NA,"99999999"
2020-05-25,7307,102,1244203,7307,6534,31,5,5,25459470,1,"Australia",NA,NA,"99999999"
2020-05-26,7322,102,1288223,7322,6555,30,5,5,25459470,1,"Australia",NA,NA,"99999999"
2020-05-27,7328,102,1338321,7328,6562,30,6,3,25459470,1,"Australia",NA,NA,"99999999"
2020-05-28,7346,102,1367444,7346,6584,29,5,3,25459470,1,"Australia",NA,NA,"99999999"
2020-05-29,7362,102,1397622,7362,6584,23,4,3,25459470,1,"Australia",NA,NA,"99999999"
2020-05-30,7374,102,1428538,7374,6618,22,4,3,25459470,1,"Australia",NA,NA,"99999999"
2020-05-31,7384,102,1454568,7384,6616,20,4,1,25459470,1,"Australia",NA,NA,"99999999"
2020-06-01,7393,102,1472220,7393,6621,20,3,1,25459470,1,"Australia",NA,NA,"99999999"
2020-06-02,7410,102,1490387,7410,6626,26,4,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-03,7418,102,1512700,7418,6641,25,5,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-04,7429,102,1546329,7429,6666,23,4,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-05,7440,102,1579192,7440,6682,21,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-06,7444,102,1590588,7444,6692,21,4,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-07,7448,102,1617462,7448,6701,18,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-08,7454,102,1633515,7454,6708,19,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-09,7456,102,1650684,7456,6722,19,2,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-10,7465,102,1679954,7465,6746,20,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-11,7474,102,1711223,7474,6761,18,2,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-12,7478,102,1745550,7478,6783,18,2,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-13,7491,102,1782651,7491,6812,16,2,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-14,7509,102,1812353,7509,6838,16,3,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-15,7524,102,1828149,7524,6851,17,4,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-16,7536,102,1848347,7536,6856,17,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-17,7559,102,1881519,7559,6870,16,3,3,25459470,1,"Australia",NA,NA,"99999999"
2020-06-18,7580,102,1927497,7580,6870,14,3,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-19,7598,102,1970205,7598,6880,15,2,2,25459470,1,"Australia",NA,NA,"99999999"
2020-06-20,7625,102,2005378,7625,6888,17,3,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-21,7650,102,2041324,7650,6896,14,2,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-22,7663,102,2107849,7663,6903,16,2,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-23,7681,102,2132821,7681,6915,19,3,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-24,7710,103,2180424,7710,6924,16,2,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-25,7747,104,2232341,7747,6942,16,2,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-26,7784,104,2281839,7784,6958,12,1,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-27,7830,104,2336061,7830,6979,12,1,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-28,7875,104,2379175,7875,6993,11,1,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-29,7956,104,2415695,7956,7008,15,1,0,25459470,1,"Australia",NA,NA,"99999999"
2020-06-30,8023,104,2455982,8023,7035,14,1,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-01,8109,104,2505923,8109,7063,18,3,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-02,8190,104,2563782,8190,7090,24,5,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-03,8255,104,2617860,8255,7128,27,7,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-04,8362,104,2668036,8362,7166,29,4,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-05,8449,104,2713435,8449,7210,30,4,0,25459470,1,"Australia",NA,NA,"99999999"
